DATASET_HEATMAP
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	epa
FIELD_LABELS	EF2200	EF2199	EF2198|epaA	EF2197|epaB	EF2196|epaC	EF2195|epaD	EF2194|epaE	EF2193|epaF	EF2192|epaG	EF2191|epaH	EF2190|epaI	EF2189|epaJ	EF2188	EF2187	EF2186	EF2184|epaK	EF2183|epaL	EF2182|epaM	EF2181|epaN	EF2180|epaO	EF2179|epaP	EF2178|epaQ	EF2177|epaR	EF2176	EF2175	EF2174	EF2173|EF2185	EF2172	EF2171	EF2170|epaX	EF2169	EF2168	EF2167	EF2166	EF2165	EF2164
Enterococcus_F_sp009933335_GCA_009933335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_raffinosus_A_GCA_018917525	87.0	48.2	54.4	53.5	35.9	53.8	90.3	82.6	90.1	76.8	0.0	0.0	0.0	0.0	0.0	0.0	53.7	62.7	0.0	38.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_F_sp017426705_GCA_017426705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_C_dispar_GCA_000406945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_sp017316305_GCA_017316305	86.2	62.7	60.2	54.3	45.1	61.2	91.3	88.9	88.9	76.1	0.0	0.0	0.0	0.0	0.0	0.0	63.4	76.2	36.7	56.0	41.2	32.1	68.0	0.0	78.1	66.9	0.0	75.5	56.2	55.4	31.5	0.0	0.0	0.0	67.5	0.0
Enterococcus_C_songbeiensis_GCA_001050095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_I_avicola_GCA_019116505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_lacertideformus_GCA_015680865	85.4	65.2	61.8	51.3	41.5	58.6	89.9	87.4	89.5	74.3	0.0	0.0	0.0	0.0	0.0	0.0	62.7	74.6	39.5	55.8	39.4	32.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_viikkiensis_GCA_005405345	86.2	46.5	57.1	54.7	36.5	53.0	91.7	82.6	90.1	77.2	0.0	0.0	0.0	0.0	0.0	0.0	57.4	75.8	42.9	60.2	40.6	32.9	67.9	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_pingfangensis_GCA_005405205	86.2	53.5	60.6	54.7	35.4	55.6	89.9	84.2	87.7	79.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_caccae_GCA_000394055	91.3	74.9	80.0	70.0	49.3	59.9	93.4	90.0	90.9	80.0	53.8	0.0	0.0	0.0	0.0	0.0	0.0	46.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	31.2	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_mundtii_C_GCA_003957375	87.8	63.0	60.7	52.7	42.9	60.3	90.3	88.4	88.3	76.8	0.0	0.0	0.0	0.0	0.0	0.0	61.6	75.4	46.0	56.2	39.7	31.5	69.3	0.0	0.0	0.0	0.0	44.2	34.3	0.0	0.0	33.2	35.6	73.5	69.1	0.0
