Accession	Name	Cluster	Subcluster	PEQtoCluRepr	Grose_Casjens_Cluster	Gros_Casjens_Subcluster
NC_048043.1	Klebsiella phage NJS2, complete genome	6	1	0.805026999999999		
NC_049845.1	Klebsiella phage PhiKpNIH-2, complete genome	6	1	0.76278		
NC_031053.1	Klebsiella phage PKP126, complete genome	6	1	0.704544		
NC_055956.1	Klebsiella phage RAD2, complete genome	6	1	0.790868		
NC_049846.1	Klebsiella phage Shelby, complete genome	6	1	0.778645		
NC_049847.1	Klebsiella phage Sin4, complete genome	6	1	0.770296		
NC_049841.1	Klebsiella phage Skenny, complete genome	6	1	0.763006		
NC_028774.1	Klebsiella phage Sushi, complete genome	6	1	0.774691		
NC_049839.1	Klebsiella phage Sweeny, complete genome	6	1	0.73863		
NC_048042.1	Klebsiella phage TAH8, complete genome	6	1	0.810638		
NC_048126.1	Klebsiella phage TSK1, complete genome	6	1	0.764728		
NC_049842.1	Klebsiella phage vB KpnS 15-38 KLPPOU149, complete genome	6	1	0.7692		
NC_049837.1	Klebsiella phage vB KpnS Alina, complete genome	6	1	0.664490999999999		
NC_049836.1	Klebsiella phage vB KpnS Call, complete genome	6	1	0.684337		
NC_049835.1	Klebsiella phage vB KpnS Domnhall, complete genome	6	1	0.68984		
NC_049840.1	Klebsiella phage vB KpnS FZ10, complete genome	6	1	1		
NC_049834.1	Klebsiella phage vB KpnS IMGroot, complete genome	6	1	0.659941		
NC_047784.1	Klebsiella phage vB KpnS KpV522, complete genome	6	1	0.668459		
NC_049833.1	Klebsiella phage vB KpnS SegesCirculi, complete genome	6	1	0.694425		
NC_047907.1	Klebsiella virus GML-KpCol1, complete genome	6	1	0.778607		
NC_048137.1	Pantoea phage vB PagS AAS23, complete genome	6	11	0.41527		
NC_031026.1	Salmonella phage phSE-2, complete genome	6	5	0.429901		
NC_049821.1	Salmonella phage slyngel, complete genome	6	2	0.421064		
NC_047947.1	Salmonella phage vB SenS PHB07, complete genome	6	5	0.418738		
NC_047898.1	Salmonella phage YSP2, complete genome	6	5	0.428045		
NC_049814.1	Shigella phage JK16, complete genome	6	2	0.410139		
NC_026010.1	Shigella phage pSf-2, complete genome	6	3	0.428972		
NC_047847.1	Shigella phage Sd1, complete genome	6	4	0.366823		
NC_047848.1	Shigella phage Sf12, complete genome	6	4	0.354653		
NC_047998.1	Shigella phage Sfin-1, complete genome	6	3	0.431148		
NC_049831.1	Shigella phage Sfin-3, complete genome	6	3	0.415460999999999		
NC_047785.1	Shigella phage SH6, complete genome	6	3	0.425961		
NC_047863.1	Shigella phage vB SflS-ISF001, complete genome	6	3	0.382537		
NC_041995.1	Shigella phage vB SsoS-ISF002, complete genome	6	3	0.413904999999999		
NC_054898.2	Vibrio virus 2019VC1, complete genome	6	10	0.405761		
NC_070651.1	Streptococcus phage 128, complete genome	7	1	0.76718		
NC_070652.1	Streptococcus phage 53, complete genome	7	1	0.751513		
NC_002185.1	Streptococcus phage 7201, complete genome	7	1	0.456028		
NC_070653.1	Streptococcus phage 73, complete genome	7	1	0.552607		
NC_070654.1	Streptococcus phage 7A5, complete genome	7	1	0.564561		
NC_013645.1	Streptococcus phage Abc2, complete genome	7	1	0.451187		
NC_070655.1	Streptococcus phage B0, complete genome	7	1	0.584405		
NC_070656.1	Streptococcus phage CHPC1005, complete genome	7	1	0.83462		
NC_070657.1	Streptococcus phage CHPC1027, complete genome	7	1	0.87578		
NC_070658.1	Streptococcus phage CHPC1029, complete genome	7	1	0.838366		
NC_070659.1	Streptococcus phage CHPC1033, complete genome	7	1	0.894293		
NC_070660.1	Streptococcus phage CHPC1036, complete genome	7	1	0.480143		
NC_070661.1	Streptococcus phage CHPC1041, complete genome	7	1	0.606014		
NC_070662.1	Streptococcus phage CHPC1045, complete genome	7	1	0.664015999999999		
NC_070663.1	Streptococcus phage CHPC1046, complete genome	7	1	0.641961999999999		
NC_070664.1	Streptococcus phage CHPC1062, complete genome	7	1	0.605993		
NC_070665.1	Streptococcus phage CHPC1067, complete genome	7	1	0.930499		
NC_070666.1	Streptococcus phage CHPC1091, complete genome	7	1	0.739378		
NC_070667.1	Streptococcus phage CHPC1148, complete genome	7	1	0.588622		
NC_070668.1	Streptococcus phage CHPC1156, complete genome	7	1	0.744413		
NC_070669.1	Streptococcus phage CHPC572, complete genome	7	1	0.633974		
NC_070670.1	Streptococcus phage CHPC595, complete genome	7	1	0.783009		
NC_070671.1	Streptococcus phage CHPC642, complete genome	7	1	0.590330999999999		
NC_070672.1	Streptococcus phage CHPC663, complete genome	7	1	0.48963		
NC_070673.1	Streptococcus phage CHPC873, complete genome	7	1	0.710791		
NC_070674.1	Streptococcus phage CHPC875, complete genome	7	1	0.66681		
NC_070675.1	Streptococcus phage CHPC877, complete genome	7	1	0.562856		
NC_070676.1	Streptococcus phage CHPC879, complete genome	7	1	0.57623		
NC_070677.1	Streptococcus phage CHPC919, complete genome	7	1	0.682974		
NC_070678.1	Streptococcus phage CHPC925, complete genome	7	1	0.632736		
NC_070679.1	Streptococcus phage CHPC927, complete genome	7	1	0.603140999999999		
NC_070680.1	Streptococcus phage CHPC928, complete genome	7	1	0.785801		
NC_070681.1	Streptococcus phage CHPC930, complete genome	7	1	0.502529		
NC_070682.1	Streptococcus phage CHPC950, complete genome	7	1	0.677115		
NC_070683.1	Streptococcus phage CHPC979, complete genome	7	1	0.676061		
NC_070684.1	Streptococcus phage D1024, complete genome	7	1	0.713846		
NC_070685.1	Streptococcus phage D1811, complete genome	7	1	0.609841		
NC_070686.1	Streptococcus phage D4276, complete genome	7	1	0.545323999999999		
NC_002072.2	Streptococcus phage DT1, complete genome	7	1	0.848552		
NC_070687.1	Streptococcus phage L5A1, complete genome	7	1	0.603287		
NC_070688.1	Streptococcus phage M19, complete genome	7	1	0.635541		
NC_070689.1	Streptococcus phage MM25, complete genome	7	1	0.897249		
NC_070690.1	Streptococcus phage P0091, complete genome	7	1	0.586516		
NC_070691.1	Streptococcus phage P3681, complete genome	7	1	0.775179		
NC_070692.1	Streptococcus phage P3684, complete genome	7	1	0.800528		
NC_070693.1	Streptococcus phage P5641, complete genome	7	1	0.621541		
NC_070694.1	Streptococcus phage P5651, complete genome	7	1	0.834202		
NC_070695.1	Streptococcus phage P7132, complete genome	7	1	0.822222		
NC_070696.1	Streptococcus phage P7133, complete genome	7	1	0.840992		
NC_070697.1	Streptococcus phage P7134, complete genome	7	1	1		
NC_070698.1	Streptococcus phage P7151, complete genome	7	1	0.769038		
NC_070699.1	Streptococcus phage P7152, complete genome	7	1	0.812545		
NC_070700.1	Streptococcus phage P7154, complete genome	7	1	0.763118		
NC_070701.1	Streptococcus phage P7573, complete genome	7	1	0.711443		
NC_070702.1	Streptococcus phage P7574, complete genome	7	1	0.597788		
NC_070703.1	Streptococcus phage P7601, complete genome	7	1	0.810765		
NC_070704.1	Streptococcus phage P7602, complete genome	7	1	0.734969		
NC_070705.1	Streptococcus phage P7631, complete genome	7	1	0.810847		
NC_070706.1	Streptococcus phage P7632, complete genome	7	1	0.807358999999999		
NC_070707.1	Streptococcus phage P7633, complete genome	7	1	0.746976		
NC_070708.1	Streptococcus phage P9851, complete genome	7	1	0.705344		
NC_070709.1	Streptococcus phage P9854, complete genome	7	1	0.630898		
NC_070710.1	Streptococcus phage P9901, complete genome	7	1	0.574468		
NC_070711.1	Streptococcus phage P9902, complete genome	7	1	0.656581		
NC_070712.1	Streptococcus phage P9903, complete genome	7	1	0.712745		
NC_000871.1	Streptococcus phage Sfi19, complete genome	7	1	0.649795		
NC_000872.1	Streptococcus phage Sfi21, complete genome	7	1	0.560916		
NC_070713.1	Streptococcus phage STP1, complete genome	7	1	0.652007		
NC_070714.1	Streptococcus phage SW1, complete genome	7	1	0.751819999999999		
NC_070715.1	Streptococcus phage SW11, complete genome	7	1	0.768849		
NC_070716.1	Streptococcus phage SW12, complete genome	7	1	0.762248		
NC_070717.1	Streptococcus phage SW2, complete genome	7	1	0.5645		
NC_070718.1	Streptococcus phage SW3, complete genome	7	1	0.635626		
NC_070719.1	Streptococcus phage SW5, complete genome	7	1	0.561979999999999		
NC_070720.1	Streptococcus phage SW6, complete genome	7	1	0.77705		
NC_070721.1	Streptococcus phage SW7, complete genome	7	1	0.764507		
NC_070722.1	Streptococcus phage SW8, complete genome	7	1	0.839859		
NC_070723.1	Streptococcus phage SWK3, complete genome	7	1	0.716256		
NC_070724.1	Streptococcus phage SWK6, complete genome	7	1	0.729205		
NC_070725.1	Streptococcus phage vB SthS VA214, complete genome	7	1	0.615023		
NC_070726.1	Streptococcus phage vB SthS VA460, complete genome	7	1	0.633131		
NC_018285.1	Streptococcus phage YMC-2011, complete genome	7	2	0.442025		
NC_015250.1	Acinetobacter phage 133 strain Acj133, complete genome	8	19	0.283518		
NC_049445.1	Acinetobacter phage AbTZA1, complete genome	8	3	0.28885		
NC_014660.1	Acinetobacter phage Ac42, complete genome	8	18	0.28264		
NC_014661.1	Acinetobacter phage Acj61, complete genome	8	16	0.303293		
NC_014663.1	Acinetobacter phage Acj9, complete genome	8	15	0.276313		
NC_049511.1	Acinetobacter phage AM101, complete genome	8	3	0.290724		
NC_049441.1	Acinetobacter phage KARL-1, complete genome	8	3	0.279916		
NC_049494.1	Acinetobacter phage vB AbaM PhT2, complete genome	8	3	0.28895		
NC_049491.1	Acinetobacter phage vB AbaP Apostate, complete genome	8	3	0.288389		
NC_049490.1	Acinetobacter phage vB AbaP Berthold, complete genome	8	3	0.291691999999999		
NC_049492.1	Acinetobacter phage vB AbaP Kimel, complete genome	8	3	0.287903		
NC_049479.1	Acinetobacter phage vB AbaP Konradin, complete genome	8	3	0.290815999999999		
NC_049493.1	Acinetobacter phage vB AbaP Lazarus, complete genome	8	3	0.289466		
NC_049438.1	Acinetobacter phage vB ApiM fHyAci03, complete genome	8	3	0.286014		
NC_018087.3	Acinetobacter phage ZZ1, complete genome	8	22	0.283554		
NC_042067.1	Citrobacter phage CF1 ERZ-2017, complete genome	8	4	0.427749		
NC_028857.1	Citrobacter phage Merlin, complete genome	8	4	0.464138999999999		
NC_027331.1	Citrobacter phage Moon, complete genome	8	4	0.459798999999999		
NC_054901.1	Citrobacter phage PhiZZ23, complete genome	8	1	0.951203		
NC_054900.1	Citrobacter phage PhiZZ6, complete genome	8	1	0.940811		
NC_054899.1	Citrobacter phage vB CroM CrRp10, complete genome	8	1	0.920662		
NC_028683.1	Edwardsiella phage PEi20 DNA, complete sequence	8	7	0.415674		
NC_055739.1	Enterobacter phage myPSH1140, complete genome	8	9	0.449671		
NC_023561.1	Enterobacter phage PG7, complete genome	8	9	0.448910999999999		
NC_048849.1	Enterobacter phage vB EclM CIP9, complete genome	8	7	0.428052		
NC_070778.1	Enterobacter phage vB EclM Q7622, complete genome	8	7	0.426436999999999		
NC_070777.1	Enterobacter phage vB EhoM-IME523, complete genome	8	7	0.425705		
NC_054902.1	Enterobacteria phage Aplg8, complete genome	8	1	0.884908		
NC_027983.1	Enterobacteria phage AR1 DNA, complete genome	8	1	0.893173		
NC_055708.1	Enterobacteria phage ATK47, complete genome	8	1	0.612718		
NC_019500.1	Enterobacteria phage Bp7, complete genome	8	2	0.453238999999999		
NC_014662.1	Enterobacteria phage CC31, complete genome	8	9	0.465752		
NC_025425.1	Enterobacteria phage GEC-3S complete genome	8	5	0.28222		
NC_054903.1	Enterobacteria phage GiZh, complete genome	8	1	0.914764		
NC_019503.1	Enterobacteria phage ime09, complete genome	8	1	0.90574		
NC_012741.1	Enterobacteria phage JS10, complete genome	8	2	0.495868		
NC_010105.1	Enterobacteria phage JS98, complete genome	8	2	0.49958		
NC_012740.1	Enterobacteria phage JSE, complete genome	8	5	0.265032999999999		
NC_054905.1	Enterobacteria phage Kha5h, complete genome	8	1	0.903657		
NC_009821.1	Enterobacteria phage Phi1, complete genome	8	5	0.282580999999999		
NC_028847.1	Enterobacteria phage QL01, complete genome	8	2	0.503233		
NC_054906.1	Enterobacteria phage RB18, complete genome	8	1	0.931481		
NC_025448.1	Enterobacteria phage RB27, complete genome	8	1	0.891533		
NC_025419.1	Enterobacteria phage RB3, complete genome	8	1	0.878735		
NC_027979.1	Enterobacteria phage RB68, complete genome	8	1	0.898063		
NC_054907.1	Enterobacteria phage T6 DNA, complete genome	8	1	0.859963		
NC_019399.1	Enterobacteria phage vB EcoM ACG-C40, complete genome	8	1	0.831894		
NC_055740.1	Enterobacteria phage vB EcoM IME281, complete genome	8	2	0.491796		
NC_055741.1	Enterobacteria phage vB EcoM IME339, complete genome	8	1	0.910503		
NC_054904.1	Enterobacteria phage vB EcoM IME340, complete genome	8	1	0.875815		
NC_055742.1	Enterobacteria phage vB EcoM IME341, complete genome	8	2	0.502364		
NC_028894.1	Enterobacteria phage vB EcoM VR20, complete genome	8	2	0.513591		
NC_028925.1	Enterobacteria phage vB EcoM VR25, complete genome	8	2	0.516757		
NC_028957.1	Enterobacteria phage vB EcoM VR26, complete genome	8	2	0.47522		
NC_028881.1	Enterobacteria phage vB EcoM VR5, complete genome	8	2	0.483943		
NC_014792.1	Enterobacteria phage vB EcoM-VR7, complete genome	8	2	0.496376		
NC_055743.1	Erwinia phage Cronus, complete genome	8	21	0.382788		
NC_041863.1	Escherichia coli O157 typing phage 3, complete genome	8	1	0.620322		
NC_041864.1	Escherichia coli O157 typing phage 6, complete genome	8	1	0.618900999999999		
NC_055782.1	Escherichia phage AnYang, complete genome	8	2	0.482485999999999		
NC_029091.1	Escherichia phage APCEc01, complete genome	8	1	0.62321		
NC_041936.1	Escherichia phage ECD7, complete genome	8	5	0.263669999999999		
NC_054910.1	Escherichia phage EcNP1, complete genome	8	1	0.879911		
NC_054913.1	Escherichia phage F2, complete genome	8	1	0.604634		
NC_041919.1	Escherichia phage HP3, complete genome	8	1	0.876896		
NC_018855.1	Escherichia phage HX01, complete genome	8	1	0.623591999999999		
NC_027349.1	Escherichia phage HY01, complete genome	8	1	0.883857		
NC_031047.1	Escherichia phage HY03, complete genome	8	1	0.784378		
NC_054923.1	Escherichia phage KIT03 DNA, complete sequence	8	1	0.901995		
NC_031934.1	Escherichia phage MX01, complete genome	8	2	0.490369		
NC_055781.1	Escherichia phage p000v, complete genome	8	1	0.610906		
NC_054929.1	Escherichia phage PE37, complete genome	8	1	0.894208		
NC_055718.1	Escherichia phage phiC120, complete genome	8	1	0.601792		
NC_055709.1	Escherichia phage phiE142, complete genome	8	1	0.429069		
NC_055749.1	Escherichia phage SF, complete genome	8	1	0.595579		
NC_028927.1	Escherichia phage slur02, complete genome	8	1	0.919205		
NC_042129.1	Escherichia phage slur03, complete genome	8	1	0.913705		
NC_042130.1	Escherichia phage slur04, complete genome	8	1	0.928119		
NC_028780.1	Escherichia phage slur07, complete genome	8	1	0.924622		
NC_028448.1	Escherichia phage slur14, complete genome	8	1	0.920458		
NC_041990.1	Escherichia phage ST0, complete genome	8	1	0.615638		
NC_054932.1	Escherichia phage teqdroes, complete genome	8	1	1		
NC_054933.1	Escherichia phage teqhad, complete genome	8	1	0.930387		
NC_054934.1	Escherichia phage teqskov, complete genome	8	1	0.941908		
NC_031030.2	Escherichia phage UFV-AREG1, complete genome	8	1	0.877262		
NC_055783.1	Escherichia phage vB EcoM 005, complete genome	8	2	0.393347		
NC_054908.1	Escherichia phage vB EcoM DalCa, complete genome	8	1	0.883368		
NC_054912.1	Escherichia phage vB EcoM F1, complete genome	8	1	0.847677		
NC_054918.1	Escherichia phage vB EcoM G4498, complete genome	8	1	0.88423		
NC_054919.1	Escherichia phage vB EcoM G4507, complete genome	8	1	0.880367		
NC_054917.1	Escherichia phage vB EcoM G50, complete genome	8	1	0.917338		
NC_054915.1	Escherichia phage vB EcoM G8, complete genome	8	1	0.841198		
NC_054920.1	Escherichia phage vB EcoM G9062, complete genome	8	1	0.87729		
NC_054921.1	Escherichia phage vB EcoM IME537, complete genome	8	1	0.827631		
NC_054922.1	Escherichia phage vB EcoM KAW1E185, complete genome	8	1	0.952857		
NC_054924.1	Escherichia phage vB EcoM Lutter, complete genome	8	1	0.891487		
NC_054925.1	Escherichia phage vB EcoM NBG2, complete genome	8	1	0.868646		
NC_054926.1	Escherichia phage vB EcoM OE5505, complete genome	8	1	0.885036		
NC_054927.1	Escherichia phage vB EcoM Ozark, complete genome	8	1	0.928748		
NC_024794.1	Escherichia phage vB EcoM PhAPEC2, complete genome	8	1	0.594689		
NC_070780.1	Escherichia phage vB EcoM RZ, complete genome	8	2	0.487075999999999		
NC_054914.1	Escherichia phage vB EcoM-fFiEco06, complete genome	8	1	0.889665		
NC_054916.1	Escherichia phage vB EcoM-G28, complete genome	8	1	0.867799		
NC_031103.1	Escherichia phage vB EcoM-UFV13, complete genome	8	1	0.910884		
NC_054928.1	Escherichia phage vB vPM PD112, complete genome	8	1	0.824385		
NC_031928.1	Escherichia phage WG01, complete genome	8	2	0.496556		
NC_019505.1	Escherichia phage wV7, complete genome	8	1	0.907149		
NC_054935.2	Escherichia phage YUEEL01, complete genome	8	1	0.880152		
NC_055757.1	Escherichia virus KFS-EC, complete genome	8	5	0.285752		
NC_028686.1	Klebsiella phage JD18, complete genome	8	6	0.445903		
NC_055768.1	Klebsiella phage KP179, complete genome	8	6	0.448988999999999		
NC_055715.1	Klebsiella phage KPV15, complete genome	8	6	0.346607		
NC_048798.1	Klebsiella phage Marfa, complete genome	8	12	0.40063		
NC_055748.1	Klebsiella phage Mineola, complete genome	8	6	0.451291		
NC_031095.1	Klebsiella phage PKO111, complete genome	8	6	0.462207999999999		
NC_048694.1	Klebsiella phage vB Kpn F48, complete genome	8	12	0.408437999999999		
NC_031087.1	Klebsiella phage vB KpnM KpV477, complete genome	8	6	0.439937		
NC_070776.1	Kosakonia phage 305, complete genome	8	7	0.426273		
NC_031020.1	Morganella phage vB MmoM MP1, complete genome	8	20	0.316994		
NC_028940.1	Pectobacterium bacteriophage PM2, complete genome	8	14	0.406695999999999		
NC_055831.1	Phage NBEco003, complete genome	8	1	0.9046		
NC_055737.1	Proteus phage phiP4-3, complete genome	8	11	0.304224999999999		
NC_028762.1	Proteus phage vB PmiM Pm5461, complete genome	8	11	0.310969999999999		
NC_055720.1	Pseudomonas phage PspYZU05, complete genome	8	17	0.300994		
NC_070779.1	Salmonella phage KM16, complete genome	8	4	0.460547999999999		
NC_042044.1	Salmonella phage Melville, complete genome	8	4	0.474396999999999		
NC_054937.1	Salmonella phage pSe SNUABM 01, complete genome	8	1	0.796213		
NC_020416.1	Salmonella phage S16, complete genome	8	4	0.462084999999999		
NC_027344.1	Salmonella phage STML-198, complete genome	8	4	0.475844999999999		
NC_026607.2	Salmonella phage STP4-a, complete genome	8	4	0.46982		
NC_031065.1	Salmonella phage vB SnwM CGG4-1, complete genome	8	4	0.459767999999999		
NC_041996.1	Serratia phage CHI14, complete genome	8	13	0.444739		
NC_049464.1	Serratia phage Muldoon, complete genome	8	10	0.313705		
NC_054938.1	Serratia phage PhiZZ30, complete genome	8	1	0.926915		
NC_024121.1	Serratia phage PS2, complete genome	8	10	0.299189		
NC_055728.1	Serratia phage X20, complete genome	8	13	0.443947		
NC_054939.1	Shigella phage CM8, complete genome	8	1	0.900261		
NC_054940.1	Shigella phage JK45, complete genome	8	1	0.602285		
NC_055734.1	Shigella phage phi25-307, complete genome	8	1	0.618052		
NC_025829.1	Shigella phage pSs-1, complete genome	8	1	0.882235		
NC_042077.1	Shigella phage Sf21, complete genome	8	1	0.903503		
NC_042039.1	Shigella phage Sf22, complete genome	8	1	0.918754		
NC_054941.1	Shigella phage Sf23, complete genome	8	1	0.909114		
NC_042078.1	Shigella phage Sf24, complete genome	8	1	0.915018		
NC_054942.1	Shigella phage SH7, complete genome	8	1	0.886402		
NC_031085.1	Shigella phage SHBML-50-1, complete genome	8	1	0.925047		
NC_025437.1	Shigella phage Shf125875, complete genome	8	1	0.600555		
NC_030953.1	Shigella phage SHFML-11, complete genome	8	1	0.842793		
NC_031011.1	Shigella phage SHFML-26, complete genome	8	1	0.816327		
NC_031090.1	Shigella phage SHSML-52-1, complete genome	8	1	0.599623999999999		
NC_014595.1	Shigella phage SP18, complete genome	8	2	0.502496		
NC_055716.1	Yersinia phage fHe-Yen9-01, complete genome	8	8	0.376483		
NC_027353.1	Yersinia phage phiD1 complete genome	8	1	0.899445		
NC_019909.1	Yersinia phage phiR1-RT complete genome	8	8	0.362562		
NC_027404.1	Yersinia phage PST, complete genome	8	1	0.863874		
NC_054944.1	Yersinia phage PYPS2T, complete genome	8	1	0.857289		
NC_028820.1	Yersinia phage vB YenM TG1, complete genome	8	8	0.334339		
NC_054945.1	Yersinia phage vB YepM ZN18, complete genome	8	1	0.884326		
NC_007061.1	Staphylococcus phage 29, complete genome	9	1	0.377729		
NC_028917.1	Staphylococcus phage 3MRA, complete genome	9	2	0.362392		
NC_007062.1	Staphylococcus phage 52A, complete genome	9	1	0.380669		
NC_007049.1	Staphylococcus phage 53, complete genome	9	1	0.817309		
NC_007060.1	Staphylococcus phage 55, complete genome	9	1	0.38358		
NC_007048.1	Staphylococcus phage 69, complete genome	9	1	0.765143		
NC_007059.1	Staphylococcus phage 71, complete genome	9	1	0.324362		
NC_030652.1	Staphylococcus phage 80, complete genome	9	1	0.405795		
NC_009526.1	Staphylococcus phage 80alpha, complete genome	9	1	0.760069		
NC_007050.1	Staphylococcus phage 85, complete genome	9	1	0.699118		
NC_007063.1	Staphylococcus phage 88, complete genome	9	1	0.417780999999999		
NC_007064.1	Staphylococcus phage 92, complete genome	9	1	0.47916		
NC_007057.1	Staphylococcus phage 96, complete genome	9	1	0.342026		
NC_054979.1	Staphylococcus phage B122, complete genome	9	1	0.35978		
NC_028859.1	Staphylococcus phage B166, complete genome	9	1	0.315874		
NC_028915.1	Staphylococcus phage B236, complete genome	9	1	0.31414		
NC_054973.1	Staphylococcus phage Baq Sau1, complete genome	9	1	0.672428999999999		
NC_024391.1	Staphylococcus phage DW2, complete genome	9	1	0.338576		
NC_054980.1	Staphylococcus phage Henu2, complete genome	9	3	0.337234999999999		
NC_054974.1	Staphylococcus phage HSA84, complete genome	9	1	0.756446		
NC_004615.1	Staphylococcus phage phi 11, complete genome	9	1	0.682885		
NC_003288.1	Staphylococcus phage phiETA DNA, complete genome	9	1	0.347551999999999		
NC_008798.1	Staphylococcus phage phiETA2 DNA, complete genome, strain: TY94	9	1	0.696116		
NC_008799.1	Staphylococcus phage phiETA3 DNA, complete genome, strain: TY32	9	1	0.365144		
NC_028669.1	Staphylococcus phage phiJB, complete genome	9	1	0.421428		
NC_010147.1	Staphylococcus phage phiMR11 DNA, complete genome	9	1	0.389924		
NC_010808.1	Staphylococcus phage phiMR25 DNA, complete genome	9	1	0.713878		
NC_008583.1	Staphylococcus phage phinm1, complete genome	9	1	0.832762		
NC_028913.1	Staphylococcus phage phinm2, complete genome	9	1	1		
NC_028864.1	Staphylococcus phage phinm4, complete genome	9	1	0.488869		
NC_011614.1	Staphylococcus phage phiSauS-IPLA88, complete genome	9	1	0.597258		
NC_007058.1	Staphylococcus phage ROSA, complete genome	9	1	0.420056		
NC_021801.1	Staphylococcus phage SA12, complete genome	9	1	0.749177		
NC_021863.1	Staphylococcus phage SA13, complete genome	9	1	0.456624999999999		
NC_054975.1	Staphylococcus phage SA75, complete genome	9	1	0.783221		
NC_029010.1	Staphylococcus phage SA97, complete genome	9	1	0.598538999999999		
NC_014460.1	Staphylococcus phage SAP-26, complete genome	9	1	0.648317		
NC_054976.1	Staphylococcus phage SAP33, complete genome	9	1	0.612395999999999		
NC_054982.1	Staphylococcus phage Sebago, complete genome	9	1	0.372115		
NC_054977.1	Staphylococcus phage SP5, complete genome	9	1	0.721872		
NC_021326.1	Staphylococcus phage StauST398-1, complete genome	9	1	0.377611999999999		
NC_021332.1	Staphylococcus phage StauST398-3, complete genome	9	1	0.328142		
NC_023500.1	Staphylococcus phage StauST398-5, complete genome	9	1	0.371349999999999		
NC_017968.1	Staphylococcus phage TEM123, complete genome	9	1	0.629522		
NC_054983.1	Staphylococcus phage UPMK 2, complete genome	9	1	0.440003999999999		
NC_054981.1	Staphylococcus phage vB SauS-SAP27, complete genome	9	1	0.459617999999999		
NC_007065.1	Staphylococcus phage X2, complete genome	9	1	0.307075		
NC_054637.1	Escherichia coli Phage vB EcoS-Sa179lw, complete genome	10	6	0.496218999999999		
NC_054651.1	Escherichia phage C1, complete genome	10	2	0.636006		
NC_054649.1	Escherichia phage vB EcoS swi2, complete genome	10	2	0.535995999999999		
NC_071143.1	Flyfo siphovirus Tbat1 6, complete genome	10	1	0.404528		
NC_071156.1	Klebsiella phage 6991, complete genome	10	1	0.293219		
NC_071154.1	Klebsiella phage BUCT541, complete genome	10	1	0.389424		
NC_071153.1	Klebsiella phage BUCT610, complete genome	10	1	0.372714		
NC_071147.1	Klebsiella phage KP591P1, complete genome	10	1	0.403664		
NC_071148.1	Klebsiella phage KP591P3, complete genome	10	1	0.439118		
NC_071149.1	Klebsiella phage vB Kpn ZCKp20p, complete genome	10	1	0.355688		
NC_071146.1	Klebsiella phage vB KpnS MK54, complete genome	10	1	0.403922		
NC_071152.1	Klebsiella phage VLCpiS13a, complete genome	10	1	0.339960999999999		
NC_071155.1	Klebsiella phage VLCpiS13b, complete genome	10	1	0.283446		
NC_071157.1	Klebsiella phage VLCpiS13c, complete genome	10	1	0.294407		
NC_071142.1	Klebsiella phage VLCpiS13d, complete genome	10	4	0.354352		
NC_071145.1	Klebsiella phage VLCpiS13e, complete genome	10	1	0.429201		
NC_071144.1	Klebsiella phage VLCpiS13f, complete genome	10	1	0.469484		
NC_054652.1	Klebsiella phage YX3973, complete genome	10	1	0.333859		
NC_071151.1	Klebsiella phage ZCKP2, complete genome	10	1	0.354655999999999		
NC_071150.1	Klebsiella phage ZCKP8, complete genome	10	1	0.363948		
NC_054654.1	Klebsiella phage ZX4, complete genome	10	1	0.408653		
NC_054653.1	Klebsiella virus KpV2811, complete genome	10	1	0.333735		
NC_031918.1	Salmonella phage 64795 sal3, complete genome	10	2	0.670597		
NC_054647.1	Salmonella phage Akira, complete genome	10	2	0.574883		
NC_031924.1	Salmonella phage IME207, complete genome	10	5	0.539706		
NC_054645.1	Salmonella phage LPST10, complete genome	10	2	0.688369		
NC_054640.1	Salmonella phage Segz 1, complete genome	10	2	0.623212		
NC_054643.1	Salmonella phage SeSz-2, complete genome	10	2	0.625659		
NC_054642.1	Salmonella phage Seszw 1, complete genome	10	2	1		
NC_054639.1	Salmonella phage Skate, complete genome	10	2	0.69863		
NC_070846.1	Salmonella phage vB SalS-LPSTLL, complete genome	10	2	0.69941		
NC_054648.1	Salmonella phage vB Se STGO-35-1, complete genome	10	2	0.563807		
NC_054638.1	Salmonella phage vB SenS SB28, complete genome	10	2	0.593563		
NC_054646.1	Salmonella phage VB StyS BS5, complete genome	10	2	0.732765		
NC_054641.1	Salmonella virus KFS-SE2, complete genome	10	2	0.726155		
NC_054644.1	Salmonella virus VSt472, complete genome	10	2	0.71555		
NC_054650.1	Shigella phage DS8, complete genome	10	2	0.642691		
NC_054636.1	Shigella phage Sf11 SMD-2017, complete genome	10	3	0.439644		
NC_042051.1	Streptomyces phage Aaronocolus, complete genome	11	2	0.6725		
NC_054677.1	Streptomyces phage Alsaber, complete genome	11	3	0.502677		
NC_054669.1	Streptomyces phage Alvy, complete genome	11	1	0.441868		
NC_028904.1	Streptomyces phage Amela, complete genome	11	3	0.501681		
NC_054664.1	Streptomyces phage Amethyst, complete genome	11	1	0.438079		
NC_054666.1	Streptomyces phage Caelum, complete genome	11	1	0.440836		
NC_028892.1	Streptomyces phage Caliburn, complete genome	11	2	0.656331		
NC_054655.1	Streptomyces phage Celia, complete genome	11	6	0.461391		
NC_041860.1	Streptomyces phage Danzina, complete genome	11	2	0.925236		
